Timestamp,Age,Gender ,Nationality,High_School_System,High_School_Grade,Economic_Status,Scholarship,Attendance,Failed_Courses,GPA,Grade,Rank,Extroversion,Calmness,Failure_Tolerance,Self_Confidence,Procrastination,Self_Motivation ,Peer_Pressure,Group_Study,Peer_Support,Teacher_Support,Teacher_Closeness,School_Belongingness,Teacher_Knowledge,Teacher_Self_Motivation,Teacher_Self_Confidence,Teacher_Openness,Fear_Of_Failure,Working_Hard,Pass_Course,Avoiding_Punishment,Rewards,University_System
3/26/2023 17:46,18-24 years old,Female,Egyptian,IGCSE,90%-100%,Medium,Yes,>60%,0,0.9,A+,excellent (ممتاز),4,4,5,5,4,4,2,No,Yes,No,4,Yes,4,Yes,Yes,No,4,5,3,3,4,
3/26/2023 17:48,18-24 years old,Female,Egyptian,IGCSE,65%-69%,High,No,>40%,0,0.8,A+,excellent (ممتاز),1,2,2,1,3,3,4,No,Yes,Yes,1,Yes,3,No,Yes,No,3,3,3,3,3,
3/27/2023 19:05,18-24 years old,Female,Egyptian ,IGCSE,90%-100%,Medium,No,>80%,0,1.7,B+,very good (جيد جدا),4,3,2,3,3,4,3,No,Yes,No,3,Yes,2,Yes,No,No,5,5,5,2,5,
3/27/2023 19:06,18-24 years old,Female,egyptian,IGCSE,90%-100%,Medium,No,>80%,3,2.5,B-,very good (جيد جدا),2,5,5,4,5,3,2,No,Yes,No,1,No,4,No,Yes,No,4,4,5,1,4,
3/27/2023 19:07,18-24 years old,Female,Egyptian,IGCSE,90%-100%,Medium,No,>80%,0,1.07,A,excellent (ممتاز),4,3,2,3,4,4,4,No,Yes,No,3,Yes,4,Yes,Yes,Yes,5,5,2,2,4,
3/27/2023 19:16,18-24 years old,Female,Egyptian,IGCSE,90%-100%,Medium,No,>80%,0,1.36,A-,excellent (ممتاز),4,3,4,4,3,4,3,No,Yes,Yes,3,Yes,3,No,No,No,5,4,3,5,4,
3/27/2023 19:37,18-24 years old,Female,Egyptian ,IGCSE,90%-100%,Medium,Yes,>80%,0,0.99,A+,excellent (ممتاز),4,4,5,5,4,5,2,No,Yes,No,3,Yes,4,Yes,Yes,No,3,5,2,1,4,
3/27/2023 20:34,25-35 years old,Male,Egyptian ,Thanaweya Amma,90%-100%,Medium,No,>80%,1,2.2,B+,very good (جيد جدا),5,4,1,4,1,5,3,No,Yes,Yes,4,Yes,4,Yes,Yes,Yes,5,5,3,1,5,
3/28/2023 1:00,18-24 years old,Female,Egyptian ,IGCSE,80%-89%,Medium,No,>80%,1,2.39,B-,very good (جيد جدا),4,4,2,4,4,4,4,Yes,Yes,Yes,4,Yes,4,Yes,Yes,Yes,5,5,5,5,5,
3/28/2023 1:51,25-35 years old,Male,Egypt,IGCSE,90%-100%,Medium,No,>60%,0,3.2,C,good (جيد ),3,1,2,1,1,2,2,Yes,Yes,No,2,Yes,3,No,No,No,3,3,4,1,4,
3/28/2023 15:31,18-24 years old,Male,Egyptian,IGCSE,90%-100%,Medium,Yes,>80%,0,1.7,B+,very good (جيد جدا),5,4,3,5,2,5,3,No,Yes,Yes,3,No,4,Yes,Yes,No,5,3,5,4,5,
3/29/2023 1:01,18-24 years old,Female,Egyptian ,Thanaweya Amma,90%-100%,Medium,No,>80%,0,1.6,A-,excellent (ممتاز),3,4,2,2,4,4,4,No,No,No,2,Yes,4,No,Yes,No,5,5,5,2,4,
3/29/2023 14:34,18-24 years old,Female,Egyptian ,Thanaweya Amma,90%-100%,Medium,No,>80%,1,2.27,B,very good (جيد جدا),5,1,4,3,5,4,3,Yes,Yes,Yes,3,Yes,5,Yes,Yes,Yes,2,4,2,1,2,German system
3/30/2023 17:41,18-24 years old,Female,egyptian ,IGCSE,90%-100%,Medium,No,> 80%,3,2.5,B-,very good (جيد جدا),2,5,5,5,5,2,3,No,Yes,No,2,No,4,Yes,Yes,No,5,4,5,1,2,German system
3/30/2023 17:43,18-24 years old,Female,Egyptian,IGCSE,90%-100%,Medium,No,> 80%,0,1.07,A,excellent (ممتاز),5,3,2,4,3,4,2,No,Yes,Yes,3,Yes,4,Yes,Yes,Yes,5,5,2,1,5,German system
3/30/2023 17:47,18-24 years old,Female,Egyptian ,IGCSE,90%-100%,Medium,Yes,> 80%,0,,A+,excellent (ممتاز),4,3,2,4,4,3,2,No,Yes,Yes,4,No,4,Yes,Yes,No,4,4,3,1,4,British
3/30/2023 17:47,18-24 years old,Female,Egyptian ,IGCSE,90%-100%,High,No,> 80%,0,3,A-,excellent (ممتاز),4,5,5,5,5,3,3,No,Yes,Yes,4,Yes,4,Yes,Yes,Yes,4,5,3,2,4,%
3/30/2023 17:50,18-24 years old,Male,Egyptain ,IGCSE,90%-100%,Medium,No,> 80%,3,2.5,B,very good (جيد جدا),3,4,4,4,4,4,4,No,Yes,No,2,No,3,Yes,Yes,No,3,3,3,3,3,German system
3/30/2023 17:53,18-24 years old,Female,Egyptian ,IGCSE,80%-89%,Medium,No,> 60%,0,2.8,B+,very good (جيد جدا),4,3,4,4,3,3,2,Yes,Yes,No,3,Yes,4,Yes,Yes,No,2,4,3,1,3,American system
3/30/2023 17:56,18-24 years old,Female,Egyption ,SAT,90%-100%,High,No,> 80%,3,2.1,B,very good (جيد جدا),3,5,4,4,3,4,4,No,Yes,Yes,2,Yes,4,Yes,Yes,No,4,4,2,1,5,German system
